Prices,Predict value,Status,IN&DEC
31907.87,31872.73888154429,sell,-70.26223691141422
31931.96,31902.349440772145,sell,-59.221118455709075
32080.76,31991.55472038607,sell,-178.4105592278538
32049.99,32020.772360193034,sell,-58.435279613931925
32032.07,32026.421180096517,neutral,-11.29763980696589
32100.0,32063.210590048257,sell,-73.57881990348324
32091.5,32077.35529502413,sell,-28.289409951743437
32072.76,32075.05764751206,neutral,4.595295024129882
32037.07,32056.06382375603,Buy,37.98764751206181
32080.59,32068.326911878015,sell,-24.52617624396953
32081.0,32074.663455939008,neutral,-12.67308812198462
32139.99,32107.326727969506,sell,-65.32654406099391
32076.2,32091.763363984755,Buy,31.126727969505737
32110.41,32101.086681992376,sell,-18.64663601524444
32166.27,32133.678340996186,sell,-65.18331800762462
32144.78,32139.229170498093,neutral,-11.101659003812529
32158.99,32149.109585249047,sell,-19.76082950190903
32188.37,32168.739792624525,sell,-39.260414750951895
32202.86,32185.799896312263,sell,-34.12020737547573
32256.91,32221.35494815613,sell,-71.11010368773714
32377.61,32299.482474078068,sell,-156.2550518438693
32419.25,32359.366237039034,sell,-119.76752592193225
32331.5,32345.43311851952,Buy,27.866237039033876
32344.22,32344.82655925976,neutral,1.213118519517593
32370.35,32357.58827962988,sell,-25.523440740238584
32353.83,32355.709139814942,neutral,3.7582796298775065
32359.96,32357.83456990747,neutral,-4.250860185056808
32353.28,32355.557284953735,neutral,4.554569907471887
32425.71,32390.633642476867,sell,-70.15271504626435
32386.11,32388.371821238434,neutral,4.523642476866371
32396.44,32392.405910619214,neutral,-8.068178761564923
32339.16,32365.78295530961,Buy,53.245910619214555
32406.93,32386.356477654805,sell,-41.14704469039134
32412.55,32399.453238827402,sell,-26.19352234519465
32389.63,32394.5416194137,neutral,9.823238827400928
32348.16,32371.350809706848,Buy,46.38161941369981
32344.8,32358.07540485342,Buy,26.550809706848668
32310.77,32334.42270242671,Buy,47.30540485342135
32310.73,32322.576351213356,Buy,23.69270242670973
32237.38,32279.97817560668,Buy,85.19635121335523
32205.5,32242.73908780334,Buy,74.47817560668045
32252.4,32247.56954390167,neutral,-9.66091219666123
32263.65,32255.609771950836,sell,-16.080456098330615
32298.99,32277.29988597542,sell,-43.38022804916545
32300.01,32288.65494298771,sell,-22.710114024579525
32225.02,32256.837471493855,Buy,63.6349429877082
32267.7,32262.268735746926,neutral,-10.862528506146191
32275.3,32268.784367873464,neutral,-13.03126425307346
32272.36,32270.572183936732,neutral,-3.5756321265362203
32261.21,32265.891091968366,neutral,9.362183936733345
32274.26,32270.075545984182,neutral,-8.3689080316326
32282.02,32276.04777299209,neutral,-11.944454015818337
32245.93,32260.988886496045,Buy,30.117772992089158
32273.43,32267.209443248023,neutral,-12.441113503955421
32172.0,32219.60472162401,Buy,95.20944324802258
32220.32,32219.962360812005,neutral,-0.7152783759884187
32221.11,32220.536180406,neutral,-1.1476391879950825
32221.41,32220.973090203,neutral,-0.8738195939986326
32208.26,32214.616545101497,neutral,12.71309020300032
32258.09,32236.353272550747,sell,-43.473454898503405
32232.39,32234.371636275373,neutral,3.963272550747206
32271.05,32252.710818137686,sell,-36.67836372462625
32291.11,32271.91040906884,sell,-38.399181862314435
32274.27,32273.09020453442,neutral,-2.359590931158891
32320.0,32296.54510226721,sell,-46.90979546558083
32354.99,32325.767551133606,sell,-58.444897732792015
32374.89,32350.328775566803,sell,-49.122448866393825
32279.89,32315.1093877834,Buy,70.43877556680309
32219.99,32267.5496938917,Buy,95.11938778339754
32226.81,32247.17984694585,Buy,40.73969389169724
32212.67,32229.924923472925,Buy,34.509846945853496
32200.99,32215.457461736463,Buy,28.9349234729234
32196.29,32205.873730868232,Buy,19.16746173646243
32233.83,32219.851865434117,sell,-27.95626913176966
32252.59,32236.220932717057,sell,-32.73813456588323
32245.78,32241.000466358528,neutral,-9.559067282942124
32245.68,32243.340233179264,neutral,-4.679533641472517
32251.16,32247.250116589632,neutral,-7.819766820735822
32228.53,32237.890058294815,Buy,18.720116589633108
32228.93,32233.41002914741,neutral,8.960058294815099
32277.21,32255.310014573704,sell,-43.79997085258947
32257.79,32256.550007286853,neutral,-2.47998542629648
32268.62,32262.585003643428,neutral,-12.069992713146348
32230.09,32246.337501821712,Buy,32.49500364342748
32310.6,32278.468750910855,sell,-64.26249817828648
32283.32,32280.894375455428,neutral,-4.851249089144403
32259.91,32270.402187727712,Buy,20.984375455427653
32254.57,32262.486093863856,Buy,15.832187727712153
32281.49,32271.98804693193,sell,-19.003906136145815
32302.84,32287.414023465964,sell,-30.851953068071452
32289.59,32288.502011732984,neutral,-2.175976534035726
32331.69,32310.096005866493,sell,-43.18798826701459
32323.51,32316.803002933244,neutral,-13.413994133505184
32362.5,32339.651501466622,sell,-45.69699706675601
32360.95,32350.30075073331,sell,-21.298498533378734
32357.82,32354.060375366655,neutral,-7.519249266690167
32324.78,32339.420187683325,Buy,29.28037536665579
32354.99,32347.205093841665,sell,-15.569812316676689
32343.25,32345.227546920833,neutral,3.955093841665075
32367.91,32356.568773460414,sell,-22.682453079167317
32328.07,32342.319386730207,Buy,28.498773460414668
32331.58,32336.949693365103,neutral,10.739386730205297
32274.46,32305.70484668255,Buy,62.48969336510345
32235.04,32270.372423341276,Buy,70.66484668254998
32218.79,32244.581211670637,Buy,51.58242334127499
32173.82,32209.200605835318,Buy,70.76121167063684
32105.18,32157.19030291766,Buy,104.02060583531784
32122.57,32139.88015145883,Buy,34.62030291766132
32157.98,32148.930075729415,sell,-18.099848541169195
32174.11,32161.520037864706,sell,-25.179924270585616
32156.74,32159.130018932352,neutral,4.780037864704354
32186.64,32172.885009466176,sell,-27.50998106764746
32218.18,32195.532504733088,sell,-45.2949905338246
32213.11,32204.321252366542,sell,-17.577495266912592
32280.51,32242.41562618327,sell,-76.18874763345593
32245.8,32244.107813091636,neutral,-3.3843738167306583
32231.4,32237.75390654582,neutral,12.707813091634307
32175.97,32206.86195327291,Buy,61.783906545817445
32193.76,32200.310976636454,neutral,13.101953272911487
32192.33,32196.320488318226,neutral,7.980976636452397
32259.01,32227.665244159114,sell,-62.689511681772274
32244.14,32235.902622079557,sell,-16.474755840885337
32275.57,32255.73631103978,sell,-39.66737792044296
32261.31,32258.52315551989,neutral,-5.57368896022308
32226.39,32242.456577759946,Buy,32.13315551989217
32283.04,32262.74828887997,sell,-40.58342224005537
32277.73,32270.239144439984,neutral,-14.981711120028194
32268.47,32269.354572219992,neutral,1.7691444399824832
32276.46,32272.907286109996,neutral,-7.105427780006721
32241.66,32257.283643054998,Buy,31.247286109995912
32255.04,32256.1618215275,neutral,2.2436430549969373
32278.72,32267.44091076375,sell,-22.558178472500003
32295.37,32281.405455381875,sell,-27.92908923624782
32448.27,32364.837727690938,sell,-166.86454461812536
32382.4,32373.61886384547,sell,-17.5622723090637
32345.88,32359.749431922733,Buy,27.738863845468586
32497.0,32428.374715961367,sell,-137.2505680772665
32562.59,32495.482357980683,sell,-134.2152840386334
32569.69,32532.586178990343,sell,-74.20764201931524
32548.97,32540.778089495172,sell,-16.383821009658277
32511.39,32526.084044747586,Buy,29.388089495172608
32527.0,32526.542022373793,neutral,-0.9159552524142782
32546.73,32536.636011186896,sell,-20.187977626206703
32550.02,32543.32800559345,neutral,-13.383988813104224
32560.78,32552.05400279672,sell,-17.45199440655051
32594.31,32573.18200139836,sell,-42.25599720327955
32601.0,32587.09100069918,sell,-27.817998601640284
32600.0,32593.545500349588,neutral,-12.908999300820142
32633.68,32613.612750174794,sell,-40.13449965041218
32581.43,32597.521375087395,Buy,32.18275017479391
32563.03,32580.275687543697,Buy,34.49137508739659
32572.01,32576.14284377185,neutral,8.265687543698732
32566.61,32571.376421885925,neutral,9.532843771849002
32582.33,32576.853210942965,neutral,-10.953578114076663
32620.82,32598.836605471482,sell,-43.966789057034475
32622.53,32610.683302735742,sell,-23.693394528516365
32611.24,32610.96165136787,neutral,-0.5566972642591281
32593.95,32602.455825683937,Buy,17.01165136786949
32575.36,32588.90791284197,Buy,27.09582568393671
32585.48,32587.193956420982,neutral,3.4279128419693734
32569.89,32578.54197821049,Buy,17.303956420983013
32567.15,32572.845989105248,neutral,11.39197821048947
32545.37,32559.10799455262,Buy,27.475989105249027
32482.82,32520.96399727631,Buy,76.28799455262197
32488.1,32504.531998638155,Buy,32.86399727631215
32490.74,32497.635999319078,neutral,13.791998638153018
32478.68,32488.15799965954,Buy,18.95599931907782
32488.14,32488.14899982977,neutral,0.017999659539782442
32490.09,32489.119499914887,neutral,-1.9410001702308364
32521.01,32505.06474995744,sell,-31.890500085111853
32503.95,32504.50737497872,neutral,1.1147499574399262
32491.0,32497.75368748936,neutral,13.507374978718872
32492.49,32495.12184374468,neutral,5.263687489357835
32593.27,32544.195921872342,sell,-98.14815625531992
32555.49,32549.84296093617,neutral,-11.294078127659304
32511.98,32530.911480468087,Buy,37.862960936170566
32547.2,32539.055740234042,sell,-16.288519531914062
32523.51,32531.282870117022,Buy,15.545740234043478
32541.14,32536.21143505851,neutral,-9.85712988297746
32564.21,32550.210717529255,sell,-27.99856494148844
32645.54,32597.875358764628,sell,-95.32928247074597
32659.42,32628.647679382313,sell,-61.544641235370364
32673.44,32651.043839691156,sell,-44.79232061768562
32642.48,32646.76191984558,neutral,8.563839691156318
32616.74,32631.750959922792,Buy,30.02191984557794
32617.27,32624.5104799614,neutral,14.480959922791953
32593.89,32609.2002399807,Buy,30.620479961398814
32637.5,32623.350119990348,sell,-28.299760019301175
32684.67,32654.010059995173,sell,-61.31988000965066
32657.27,32655.640029997587,neutral,-3.259940004827513
32628.07,32641.855014998793,Buy,27.57002999758697
32562.83,32602.342507499397,Buy,79.02501499879145
32566.04,32584.191253749697,Buy,36.3025074993966
32576.29,32580.24062687485,neutral,7.90125374969648
32561.97,32571.105313437423,Buy,18.27062687484795
32532.3,32551.702656718713,Buy,38.80531343742405
32530.03,32540.866328359356,Buy,21.67265671871428
32547.2,32544.03316417968,neutral,-6.333671640644752
32521.45,32532.74158208984,Buy,22.583164179679443
32554.45,32543.59579104492,sell,-21.708417910162098
32540.77,32542.182895522463,neutral,2.8257910449210613
32568.8,32555.491447761233,sell,-26.617104477536486
32552.27,32553.88072388062,neutral,3.2214477612324117
32513.59,32533.735361940307,Buy,40.290723880618316
32565.06,32549.397680970156,sell,-31.324638059693825
32529.64,32539.518840485078,Buy,19.757680970156798
32552.98,32546.249420242537,neutral,-13.461159514921746
32564.99,32555.619710121267,sell,-18.74057975746473
32564.71,32560.164855060633,neutral,-9.09028987873171
32562.12,32561.142427530314,neutral,-1.9551449393657094
32617.59,32589.366213765155,sell,-56.44757246968584
32621.55,32605.45810688258,sell,-32.183786234843865
32664.58,32635.01905344129,sell,-59.12189311742259
32700.08,32667.549526720646,sell,-65.0609465587113
32692.26,32679.904763360322,sell,-24.7104732793523
32726.15,32703.027381680164,sell,-46.245236639679206
32691.91,32697.468690840084,neutral,11.117381680163817
32724.6,32711.03434542004,sell,-27.131309159914963
32766.43,32738.73217271002,sell,-55.39565457995923
32770.79,32754.76108635501,sell,-32.057827289980196
32790.82,32772.79054317751,sell,-36.058913644988934
32818.75,32795.77027158876,sell,-45.95945682249294
32835.55,32815.66013579438,sell,-39.77972841124574
32858.46,32837.06006789719,sell,-42.79986420561909
32870.0,32853.5300339486,sell,-32.93993210281042
