date,open,high,low,close
1617919440000,57638.56,57689.0,57633.28,57689.0
1617919500000,57688.99,57760.01,57688.99,57754.82
1617919560000,57754.82,57754.82,57707.61,57724.2
1617919620000,57724.21,57731.71,57707.65,57719.55
1617919680000,57719.55,57722.52,57686.0,57686.0
1617919740000,57686.01,57728.95,57666.78,57705.86
1617919800000,57705.86,57705.86,57677.97,57705.0
1617919860000,57704.99,57726.81,57679.75,57689.4
1617919920000,57689.4,57689.4,57671.43,57688.26
1617919980000,57688.26,57713.63,57673.36,57687.19
1617920040000,57687.19,57694.45,57675.05,57683.96
1617920100000,57683.96,57693.22,57681.9,57688.34
1617920160000,57686.18,57700.0,57683.28,57692.31
1617920220000,57692.31,57809.31,57691.56,57756.14
1617920280000,57756.14,57768.48,57732.33,57764.02
1617920340000,57764.02,57772.04,57738.0,57759.66
1617920400000,57759.66,57850.0,57756.83,57815.87
1617920460000,57815.87,57843.4,57789.69,57807.93
1617920520000,57807.93,57845.0,57807.93,57832.82
1617920580000,57832.82,57850.0,57814.55,57814.6
1617920640000,57814.6,57843.75,57814.59,57843.74
1617920700000,57843.75,57888.72,57840.0,57873.0
1617920760000,57868.77,57919.91,57868.76,57906.01
1617920820000,57906.01,57909.19,57891.4,57906.02
1617920880000,57909.19,57909.19,57869.36,57902.75
1617920940000,57902.75,57903.21,57859.3,57859.3
1617921000000,57859.31,58080.0,57859.3,58068.48
1617921060000,58068.48,58100.0,57966.7,57976.94
1617921120000,57976.94,57993.23,57896.1,57921.91
1617921180000,57921.91,57940.29,57910.7,57939.41
1617921240000,57939.41,57969.99,57907.67,57907.69
1617921300000,57907.69,57923.06,57875.13,57878.05
1617921360000,57878.06,57878.06,57840.0,57840.01
1617921420000,57840.01,57840.01,57800.0,57818.8
1617921480000,57818.8,57818.8,57793.2,57796.62
1617921540000,57796.62,57839.21,57796.62,57800.78
1617921600000,57800.77,57819.81,57786.1,57787.3
1617921660000,57787.3,57839.15,57787.29,57839.14
1617921720000,57839.15,57839.15,57796.5,57837.42
1617921780000,57837.43,57865.14,57814.82,57859.84
1617921840000,57859.85,57886.91,57843.1,57851.19
1617921900000,57851.18,57873.28,57848.0,57852.29
1617921960000,57852.29,57852.29,57810.64,57839.35
1617922020000,57840.0,57857.28,57810.27,57818.78
1617922080000,57818.78,57836.06,57818.77,57823.99
1617922140000,57823.98,57848.14,57800.0,57828.02
1617922200000,57828.02,57828.22,57804.35,57828.21
1617922260000,57828.22,57843.72,57820.0,57834.38
1617922320000,57834.38,57850.0,57812.1,57835.9
1617922380000,57835.9,57888.22,57835.9,57883.68
1617922440000,57883.67,57883.68,57825.48,57843.54
1617922500000,57843.54,57867.81,57834.2,57867.81
1617922560000,57867.81,57885.82,57861.64,57885.82
1617922620000,57885.81,57888.39,57845.0,57857.75
